name,country_code,subdivision,unlocode,location,asciiname,coordinates,latitude,longitude,timezone,modification date
Montbéliard,FR,,FRMTD,MTD,Montbeliard,4731N 00648E,47.5096,6.7982,Europe/Paris,2020-06-10
Montceau-les-Mines,FR,,FRMLM,MLM,Montceau-les-Mines,4640N 00422E,46.6667,4.3667,Europe/Paris,2019-03-26
Monte Alegre,BR,,BRMAC,MAC,Monte Alegre,0552S 03618W,-2.0008,-54.0810,America/Santarem,2020-03-15
Monte Alegre,BR,,BRMTE,MTE,Monte Alegre,,-2.0008,-54.0810,America/Santarem,2020-03-15
Monte Alto,BR,,BRMTT,MTT,Monte Alto,,-21.2611,-48.4964,America/Sao_Paulo,2012-08-03
Monte Azul Paulista,BR,,BRMAP,MAP,Monte Azul Paulista,,-20.9072,-48.6414,America/Sao_Paulo,2012-08-03
Monte Carmelo,BR,,BRMCE,MCE,Monte Carmelo,,-18.7247,-47.4986,America/Sao_Paulo,2012-08-03
Monte Caseros,AR,,ARMCS,MCS,Monte Caseros,,-30.2536,-57.6363,America/Argentina/Cordoba,2015-04-22
Monte Mor,BR,,BRMTM,MTM,Monte Mor,,-22.9467,-47.3158,America/Sao_Paulo,2012-08-03
Monte Plata,DO,,DOMPT,MPT,Monte Plata,1848N 06947W,18.8070,-69.7840,America/Santo_Domingo,2016-06-05
Monte-Carlo,MC,,MCMCM,MCM,Monte-Carlo,4344N 00725E,43.7398,7.4273,Europe/Monaco,2013-03-22
Montebello,US,,USMB6,MB6,Montebello,4108N 07407W,34.0095,-118.1054,America/Los_Angeles,2017-03-09
Montebelluna,IT,,ITMOA,MOA,Montebelluna,,45.7750,12.0490,Europe/Rome,2014-04-13
Montecarlo,AR,,ARMTC,MTC,Montecarlo,2633S 05445W,-26.5662,-54.7570,America/Argentina/Cordoba,2015-04-22
Montecristi,EC,,ECMTC,MTC,Montecristi,0103S 08040W,-1.0458,-80.6589,America/Guayaquil,2017-02-07
Montego Bay,JM,,JMMBJ,MBJ,Montego Bay,,18.4712,-77.9188,America/Jamaica,2017-03-14
Monteiro,BR,,BRMME,MME,Monteiro,,-7.8894,-37.1200,America/Fortaleza,2012-08-03
Montelíbano,CO,,COMTB,MTB,Montelibano,0759N 07525W,7.9792,-75.4202,America/Bogota,2016-01-28
Montemurlo,IT,,ITMOO,MOO,Montemurlo,4355N 01103E,43.9269,11.0372,Europe/Rome,2013-09-10
Montenegro,BR,,BRQGF,QGF,Montenegro,2940S 05128W,-29.6886,-51.4611,America/Sao_Paulo,2012-07-29
Montepuez,MZ,,MZMTU,MTU,Montepuez,,-13.1256,38.9997,Africa/Maputo,2012-01-19
Montereau-Fault-Yonne,FR,,FRMTR,MTR,Montereau-Fault-Yonne,4823N 00256E,48.3833,2.9500,Europe/Paris,2016-02-18
Monterey,US,,US3MR,3MR,Monterey,4210N 07312W,36.6002,-121.8947,America/Los_Angeles,2017-03-09
Monterey,US,,USMZY,MZY,Monterey,,36.6002,-121.8947,America/Los_Angeles,2017-03-09
Monterey,US,,USYTX,YTX,Monterey,3824N 07934W,36.6002,-121.8947,America/Los_Angeles,2017-03-09
Monterotondo,IT,,ITMTD,MTD,Monterotondo,4309N 01051E,42.0516,12.6197,Europe/Rome,2019-12-30
Monterrey,MX,,MXMTY,MTY,Monterrey,,25.6751,-100.3185,America/Monterrey,2019-09-05
Monterrey,MX,,MXTTE,TTE,Monterrey,1605N 09323W,25.6751,-100.3185,America/Monterrey,2019-09-05
Monterusciello,IT,,ITMNH,MNH,Monterusciello,4052N 01404E,40.8687,14.0828,Europe/Rome,2015-08-08
Montes Claros,BR,,BRMOC,MOC,Montes Claros,,-16.7350,-43.8617,America/Sao_Paulo,2012-08-03
Montesson,FR,,FRMOO,MOO,Montesson,4855N 00209E,48.9092,2.1375,Europe/Paris,2016-02-18
Montevarchi,IT,,ITMVH,MVH,Montevarchi,4331N 01134E,43.5252,11.5724,Europe/Rome,2014-04-13
Montevideo,UY,,UYMVD,MVD,Montevideo,,-34.9033,-56.1882,America/Montevideo,2019-09-05
Montfermeil,FR,,FRMFE,MFE,Montfermeil,4853N 00233E,48.8982,2.5791,Europe/Paris,2016-02-18
Montgeron,FR,,FRM9T,M9T,Montgeron,4842N 00227E,48.7054,2.4504,Europe/Paris,2016-02-18
Montgomery,US,,US3MG,3MG,Montgomery,3140N 09253W,32.3668,-86.3000,America/Chicago,2019-09-05
Montgomery,US,,US7MG,7MG,Montgomery,4454N 07238W,32.3668,-86.3000,America/Chicago,2019-09-05
Montgomery,US,,USMG6,MG6,Montgomery,3023N 09542W,32.3668,-86.3000,America/Chicago,2019-09-05
Montgomery,US,,USMGH,MGH,Montgomery,,32.3668,-86.3000,America/Chicago,2019-09-05
Montgomery,US,,USMGJ,MGJ,Montgomery,,32.3668,-86.3000,America/Chicago,2019-09-05
Montgomery,US,,USNGY,NGY,Montgomery,3913N 08422W,32.3668,-86.3000,America/Chicago,2019-09-05
Montgomery,US,,USOGM,OGM,Montgomery,3840N 08702W,32.3668,-86.3000,America/Chicago,2019-09-05
Montgomery,US,,USOTE,OTE,Montgomery,3810N 08119W,32.3668,-86.3000,America/Chicago,2019-09-05
Montgomery,US,,USQMG,QMG,Montgomery,4110N 07652W,32.3668,-86.3000,America/Chicago,2019-09-05
Montgomery,US,,USYGY,YGY,Montgomery,3527N 08809W,32.3668,-86.3000,America/Chicago,2019-09-05
Montichiari,IT,,ITMCH,MCH,Montichiari,4525N 01023E,45.4132,10.3980,Europe/Rome,2014-04-13
Montignies-sur-Sambre,BE,,BEMGS,MGS,Montignies-sur-Sambre,5024N 00430E,50.4108,4.4911,Europe/Brussels,2020-05-25
Montigny-le-Bretonneux,FR,,FRMYX,MYX,Montigny-le-Bretonneux,4846N 00202E,48.7664,2.0341,Europe/Paris,2016-02-18
Montigny-lès-Cormeilles,FR,,FRMTS,MTS,Montigny-les-Cormeilles,4859N 00211E,48.9820,2.2003,Europe/Paris,2020-06-10
Montigny-lès-Metz,FR,,FRGYT,GYT,Montigny-les-Metz,4906N 00609E,49.0956,6.1527,Europe/Paris,2020-06-10
Montijo,ES,,ESMNJ,MNJ,Montijo,,38.9084,-6.6178,Europe/Madrid,2012-03-04
Montijo,PT,,PTMON,MON,Montijo,3842N 00858W,38.7067,-8.9739,Europe/Lisbon,2014-04-06
Montilla,ES,,ESMVT,MVT,Montilla,,37.5863,-4.6380,Europe/Madrid,2012-03-04
Montivilliers,FR,,FRNIV,NIV,Montivilliers,4933N 00012E,49.5452,0.1877,Europe/Paris,2016-02-18
Montluçon,FR,,FRMCU,MCU,Montlucon,4620N 00236E,46.3402,2.6025,Europe/Paris,2019-04-10
Montmorency,FR,,FRFMY,FMY,Montmorency,4859N 00219E,48.9883,2.3434,Europe/Paris,2016-02-18
Montpellier,FR,,FRMPL,MPL,Montpellier,4337N 00353E,43.6109,3.8763,Europe/Paris,2020-06-10
Montreuil,FR,,FRMTL,MTL,Montreuil,4851N 00225E,48.8642,2.4432,Europe/Paris,2018-03-09
Montreuil,FR,,FRMTT,MTT,Montreuil,4846N 00122E,48.8642,2.4432,Europe/Paris,2018-03-09
Montreuil,FR,,FRMUI,MUI,Montreuil,4624N 00050W,48.8642,2.4432,Europe/Paris,2018-03-09
Montrose,US,,US4MO,4MO,Montrose,4031N 09124W,38.4783,-107.8762,America/Denver,2018-01-01
Montrose,US,,USMBH,MBH,Montrose,3412N 11813W,38.4783,-107.8762,America/Denver,2018-01-01
Montrose,US,,USME3,ME3,Montrose,4503N 09354W,38.4783,-107.8762,America/Denver,2018-01-01
Montrose,US,,USOZ9,OZ9,Montrose,3033N 08753W,38.4783,-107.8762,America/Denver,2018-01-01
Montrose,US,,USQMR,QMR,Montrose,4150N 07552W,38.4783,-107.8762,America/Denver,2018-01-01
Montrouge,FR,,FRMTG,MTG,Montrouge,4849N 00219E,48.8162,2.3139,Europe/Paris,2016-02-18
Montélimar,FR,,FRMTM,MTM,Montelimar,4434N 00445E,44.5547,4.7547,Europe/Paris,2019-06-05
Monywa,MM,,MMMYA,MYA,Monywa,2207N 09508E,22.1086,95.1358,Asia/Yangon,2016-06-01
Monza,IT,,ITMZA,MZA,Monza,4535N 00916E,45.5800,9.2725,Europe/Rome,2018-03-12
Monze,ZM,,ZMMZE,MZE,Monze,1616S 02729E,-16.2833,27.4833,Africa/Lusaka,2012-01-17
Monzón,ES,,ESMNZ,MNZ,Monzon,4155N 00012E,41.9108,0.1941,Europe/Madrid,2012-03-04
Monção,PT,,PTMNO,MNO,Moncao,4205N 00829W,42.0789,-8.4808,Europe/Madrid,2011-08-28
Mooka,JP,,JPMOA,MOA,Mooka,3626N 14001E,36.4333,140.0167,Asia/Tokyo,2017-07-22
Moore,US,,USMBW,MBW,Moore,,35.3395,-97.4867,America/Chicago,2017-03-09
Mooresville,US,,US2MV,2MV,Mooresville,3944N 09343W,35.5849,-80.8101,America/New_York,2017-05-23
Mooresville,US,,USM3O,M3O,Mooresville,3526N 08654W,35.5849,-80.8101,America/New_York,2017-05-23
Mooresville,US,,USMYZ,MYZ,Mooresville,,35.5849,-80.8101,America/New_York,2017-05-23
Mooroolbark,AU,,AUMBK,MBK,Mooroolbark,3747S 14518E,-37.7825,145.3168,Australia/Melbourne,2019-07-18
Moosburg,DE,,DEMBU,MBU,Moosburg,4928N 01156E,48.4709,11.9381,Europe/Berlin,2013-02-19
Moosburg,DE,,DEMOO,MOO,Moosburg,,48.4709,11.9381,Europe/Berlin,2013-02-19
Moose Jaw,CA,,CAYMJ,YMJ,Moose Jaw,5024N 10533W,50.4001,-105.5345,America/Regina,2013-09-22
Mopti,ML,,MLMZI,MZI,Mopti,,14.4843,-4.1830,Africa/Bamako,2012-05-31
Moquegua,PE,,PEMOQ,MOQ,Moquegua,1711S 07056W,-17.1983,-70.9357,America/Lima,2019-09-05
Mora,CM,,CMMOR,MOR,Mora,1102N 01408E,11.0461,14.1401,Africa/Douala,2012-01-16
Morada Nova,BR,,BRMRV,MRV,Morada Nova,0507S 03823W,-5.1067,-38.3725,America/Fortaleza,2012-08-03
Morales,GT,,GTMOR,MOR,Morales,1529N 08849W,15.4723,-88.8407,America/Guatemala,2019-10-10
Moratuwa,LK,,LKMOR,MOR,Moratuwa,0646N 07952E,6.7730,79.8816,Asia/Colombo,2018-12-29
Morayfield,AU,,AUMFX,MFX,Morayfield,2706S 15256E,-27.1088,152.9491,Australia/Brisbane,2019-07-18
Morbi,IN,,INMOB,MOB,Morbi,2249N 07050E,22.8173,70.8377,Asia/Kolkata,2018-05-28
Morden,GB,,GBMOD,MOD,Morden,5123N 00012W,51.3982,-0.1984,Europe/London,2017-12-06
Morden,GB,,GBZCE,ZCE,Morden,5046N 00207W,51.3982,-0.1984,Europe/London,2017-12-06
Morecambe,GB,,GBMOC,MOC,Morecambe,,54.0684,-2.8611,Europe/London,2018-07-03
Morelia,MX,,MXMLM,MLM,Morelia,1942N 10107W,19.7008,-101.1844,America/Mexico_City,2018-11-03
Morena,IN,,INMOE,MOE,Morena,2629N 07800E,26.4989,77.9953,Asia/Kolkata,2015-08-07
Moreno,BR,,BRMRE,MRE,Moreno,,-8.1186,-35.0922,America/Recife,2012-08-03
Moreton,GB,,GBMOT,MOT,Moreton,5324N 00307W,53.4000,-3.1167,Europe/London,2012-04-05
Moreton,GB,,GBMRT,MRT,Moreton,,53.4000,-3.1167,Europe/London,2012-04-05
Morganton,US,,USO99,O99,Morganton,3452N 08414W,35.7454,-81.6848,America/New_York,2017-05-23
Morgantown,US,,USMGG,MGG,Morgantown,,39.6295,-79.9559,America/New_York,2019-09-19
Morgantown,US,,USMGP,MGP,Morgantown,,39.6295,-79.9559,America/New_York,2019-09-19
Morgantown,US,,USMJZ,MJZ,Morgantown,,39.6295,-79.9559,America/New_York,2019-09-19
Morgantown,US,,USMWG,MWG,Morgantown,,39.6295,-79.9559,America/New_York,2019-09-19
Mori,JP,,JPMOR,MOR,Mori,,34.8333,137.9333,Asia/Tokyo,2017-04-09
Morigaon,IN,,INMAR,MAR,Morigaon,2615N 09220E,26.2491,92.3476,Asia/Kolkata,2016-06-13
Moriguchi,JP,,JPQGT,QGT,Moriguchi,3444N 13535E,34.7333,135.5667,Asia/Tokyo,2017-07-22
Morioka,JP,,JPMRW,MRW,Morioka,,39.7000,141.1500,Asia/Tokyo,2017-04-09
Moriya,JP,,JPMRY,MRY,Moriya,3556N 14000E,35.9333,140.0000,Asia/Tokyo,2017-07-22
Morlaix,FR,,FRMXN,MXN,Morlaix,4835N 00350W,48.5778,-3.8279,Europe/Paris,2020-06-10
Morlanwelz-Mariemont,BE,,BEMLW,MLW,Morlanwelz-Mariemont,5027N 00414E,50.4550,4.2452,Europe/Brussels,2012-01-18
Morley,AU,,AUMLY,MLY,Morley,3153S 11553E,-31.8878,115.9099,Australia/Perth,2019-07-18
Morley,GB,,GBMXK,MXK,Morley,5344N 00135W,53.7401,-1.5988,Europe/London,2011-07-31
Mornington,AU,,AUM3N,M3N,Mornington,3813S 14502E,-38.2179,145.0388,Australia/Melbourne,2019-07-18
Mornington,AU,,AUONG,ONG,Mornington,,-38.2179,145.0388,Australia/Melbourne,2019-07-18
Moro,PK,,PKMOR,MOR,Moro,,26.6632,68.0002,Asia/Karachi,2019-12-06
Morogoro,TZ,,TZMRG,MRG,Morogoro,0649S 03739E,-6.8210,37.6612,Africa/Dar_es_Salaam,2019-09-05
Moroleón,MX,,MXMOR,MOR,Moroleon,2008N 10112W,20.1257,-101.1921,America/Mexico_City,2018-11-03
Morondava,MG,,MGMOQ,MOQ,Morondava,,-20.2887,44.3178,Indian/Antananarivo,2018-09-07
Moroni,KM,,KMYVA,YVA,Moroni,,-11.7022,43.2551,Indian/Comoro,2020-06-14
Morozovsk,RU,,RUMOR,MOR,Morozovsk,4821N 04149E,48.3550,41.8263,Europe/Moscow,2019-09-05
Morphett Vale,AU,,AUMV2,MV2,Morphett Vale,3508S 13831E,-35.1333,138.5167,Australia/Adelaide,2019-07-18
Morrinhos,BR,,BRMHO,MHO,Morrinhos,,-17.7311,-49.0994,America/Sao_Paulo,2012-08-03
Morristown,US,,USITW,ITW,Morristown,4003N 08104W,36.2140,-83.2949,America/New_York,2017-03-09
